timestamp,symbol,ema_cross_diff_pct,atr_pct,rsi_normalized,price_to_fast_pct,price_to_slow_pct,trend_direction,trend_strength,decision_buy_possible,decision_sell_possible,decision_hold_possible,strategy_signal,executed_action,was_executed,regime,volatility_level,decision_outcome,reject_reason,reason
2026-01-21T10:37:59.566652,BTC/USDT,0.0073566628084785,-0.0167187712569341,0.0,0.008243807862136,0.0156010771397615,1.0,7.356662808478554e-05,True,True,True,BUY,HOLD,False,high_volatility,high,rejected_by_execution,Execution error: Risk validation failed,HOLD: Signal BUY rejected by Execution Error - Execution error: Risk validation failed
2026-01-21T10:38:05.162567,BTC/USDT,0.0075871583276953,-0.1543209876726194,0.0,0.0065949375549192,0.0141825962509685,1.0,7.587158327695364e-05,True,True,True,BUY,HOLD,False,high_volatility,high,rejected_by_execution,Execution error: Risk validation failed,HOLD: Signal BUY rejected by Execution Error - Execution error: Risk validation failed
2026-01-21T10:38:10.871895,BTC/USDT,0.0112291033098431,0.206029083943373,0.0,0.0317643100735929,0.0429969802306298,1.0,0.0001122910330984,False,True,True,SELL,HOLD,False,high_volatility,high,rejected_by_execution,Execution error: Risk validation failed,HOLD: Signal SELL rejected by Execution Error - Execution error: Risk validation failed
2026-01-21T10:38:46.199589,BTC/USDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,BUY,BUY,True,ranging,medium,executed,,LEARNING BUY | RSI: 50.0 (0.000 norm) | EMA diff: 0.0000% | ATR: 0.0000% | Outcome: EXECUTED
2026-01-21T10:43:49.780549,BTC/USDT,-0.0061459193268765,-0.221108005936085,0.0,0.0008612602110153,-0.0052847120482189,-1.0,6.145919326876541e-05,True,False,True,BUY,BUY,True,ranging,medium,executed,,LEARNING BUY | RSI: 38.9 (-0.221 norm) | EMA diff: -0.0061% | ATR: 0.0000% | Outcome: EXECUTED
2026-01-21T10:48:54.305154,BTC/USDT,-0.0020255407998317,-0.1192523364717328,0.0,0.0008976122629685,-0.0011279467183658,-1.0,2.0255407998317272e-05,True,True,True,BUY,BUY,True,ranging,medium,executed,,LEARNING BUY | RSI: 44.0 (-0.119 norm) | EMA diff: -0.0020% | ATR: 0.0000% | Outcome: EXECUTED
2026-01-21T10:54:00.018059,BTC/USDT,0.0068235183633628,0.999625046816854,0.0,0.0083684843626189,0.015192573751049,1.0,6.823518363362877e-05,False,True,True,SELL,SELL,True,ranging,medium,executed,,LEARNING SELL | RSI: 100.0 (1.000 norm) | EMA diff: 0.0068% | ATR: 0.0000% | Outcome: EXECUTED
2026-01-21T10:59:05.105063,BTC/USDT,0.0050007829922023,-0.3469055374667272,0.0,-0.0292787150282274,-0.0242793962010266,1.0,5.000782992202303e-05,True,False,True,BUY,BUY,True,ranging,medium,executed,,LEARNING BUY | RSI: 32.7 (-0.347 norm) | EMA diff: 0.0050% | ATR: 0.0000% | Outcome: EXECUTED
2026-01-21T11:04:10.760224,BTC/USDT,-0.0572108332105597,-0.6148182957414235,0.0,-0.0290381423003303,-0.0862323625477312,-1.0,0.0005721083321055,True,False,True,BUY,BUY,True,ranging,medium,executed,,LEARNING BUY | RSI: 19.3 (-0.615 norm) | EMA diff: -0.0572% | ATR: 0.0000% | Outcome: EXECUTED
2026-01-21T11:06:33.820410,BTC/USDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,BUY,BUY,True,high_volatility,high,executed,,LEARNING BUY | RSI: 50.0 (0.000 norm) | EMA diff: 0.0000% | ATR: 0.0000% | Outcome: EXECUTED
2026-01-21T11:11:39.007520,BTC/USDT,0.0097417716614733,-0.2598266269919439,0.0,-0.0150783440494338,-0.0053380412858081,1.0,9.741771661473324e-05,True,False,True,BUY,BUY,True,high_volatility,high,executed,,LEARNING BUY | RSI: 37.0 (-0.260 norm) | EMA diff: 0.0097% | ATR: 0.0000% | Outcome: EXECUTED
2026-01-21T11:16:43.165294,BTC/USDT,0.0066684473307215,-0.0292854149239096,0.0,0.0086166916390598,0.015285713569325,1.0,6.66844733072158e-05,True,True,True,BUY,BUY,True,high_volatility,high,executed,,LEARNING BUY | RSI: 48.5 (-0.029 norm) | EMA diff: 0.0067% | ATR: 0.0000% | Outcome: EXECUTED
2026-01-21T11:21:48.546304,BTC/USDT,0.0025315491824608,-0.0605939963425233,0.0,0.0144539013191567,0.0169858164092382,1.0,2.5315491824608696e-05,True,True,True,BUY,BUY,True,high_volatility,high,executed,,LEARNING BUY | RSI: 47.0 (-0.061 norm) | EMA diff: 0.0025% | ATR: 0.0000% | Outcome: EXECUTED
2026-01-21T11:26:56.253696,BTC/USDT,0.0315143669861458,0.3613189249046561,0.0,0.0009232525086958,0.0324379104520254,1.0,0.0003151436698614,False,True,True,SELL,SELL,True,high_volatility,high,executed,,LEARNING SELL | RSI: 68.1 (0.361 norm) | EMA diff: 0.0315% | ATR: 0.0000% | Outcome: EXECUTED
2026-01-21T11:32:01.867596,BTC/USDT,-0.0196971626885332,-0.3980941380354491,0.0,-0.0171584851128128,-0.0368522680666185,-1.0,0.0001969716268853,True,False,True,BUY,BUY,True,high_volatility,high,executed,,LEARNING BUY | RSI: 30.1 (-0.398 norm) | EMA diff: -0.0197% | ATR: 0.0000% | Outcome: EXECUTED
2026-01-21T11:37:06.036743,BTC/USDT,-0.010374511984823,-0.3099379019269676,0.0,-0.0097479431757819,-0.020121443859072,-1.0,0.0001037451198482,True,False,True,BUY,BUY,True,high_volatility,high,executed,,LEARNING BUY | RSI: 34.5 (-0.310 norm) | EMA diff: -0.0104% | ATR: 0.0000% | Outcome: EXECUTED
2026-01-21T11:42:10.412336,BTC/USDT,0.0390333772042989,0.5118638475650334,0.0,0.1229443695552966,0.1620257360991155,1.0,0.0003903337720429,False,True,True,SELL,SELL,True,high_volatility,high,executed,,LEARNING SELL | RSI: 75.6 (0.512 norm) | EMA diff: 0.0390% | ATR: 0.0000% | Outcome: EXECUTED
2026-01-21T11:47:16.449513,BTC/USDT,0.0136010528920547,0.1472614590820035,0.0,0.004358860842274,0.0179605065852973,1.0,0.0001360105289205,True,True,True,BUY,BUY,True,high_volatility,high,executed,,LEARNING BUY | RSI: 57.4 (0.147 norm) | EMA diff: 0.0136% | ATR: 0.0000% | Outcome: EXECUTED
2026-01-21T11:52:23.093187,BTC/USDT,0.0408036583523787,0.2698949559277568,0.0,-0.0116597491017611,0.0291391516464293,1.0,0.0004080365835237,False,True,True,SELL,SELL,True,high_volatility,high,executed,,LEARNING SELL | RSI: 63.5 (0.270 norm) | EMA diff: 0.0408% | ATR: 0.0000% | Outcome: EXECUTED
2026-01-21T11:57:28.533600,BTC/USDT,0.0100535436816902,0.2399829496942116,0.0,0.0345335913886029,0.0445906069199882,1.0,0.0001005354368169,False,True,True,SELL,SELL,True,high_volatility,high,executed,,LEARNING SELL | RSI: 62.0 (0.240 norm) | EMA diff: 0.0101% | ATR: 0.0000% | Outcome: EXECUTED
